step 0: train loss 8.7256, val loss 8.7217
iter 2490: loss 0.8953, loss_a 0.8953, loss_b nan, time 1315.83ms, mfu 8.74%
step 2500: train loss 0.8817, val loss 0.9248
saving checkpoint to out-enwik8-char-sparse
iter 2500: loss 0.8585, loss_a 0.8585, loss_b nan, time 45761.14ms, mfu 7.89%
iter 2510: loss 0.8519, loss_a 0.8519, loss_b nan, time 1314.37ms, mfu 7.98%
iter 2520: loss 0.8750, loss_a 0.8750, loss_b nan, time 1314.29ms, mfu 8.06%
iter 2530: loss 0.9076, loss_a 0.9076, loss_b nan, time 1314.53ms, mfu 8.13%
iter 2540: loss 0.9160, loss_a 0.9160, loss_b nan, time 1314.79ms, mfu 8.19%
iter 2550: loss 0.8691, loss_a 0.8691, loss_b nan, time 1315.22ms, mfu 8.24%
iter 2560: loss 0.8198, loss_a 0.8198, loss_b nan, time 1314.27ms, mfu 8.29%
iter 2570: loss 0.9153, loss_a 0.9153, loss_b nan, time 1313.32ms, mfu 8.34%
iter 2580: loss 0.9167, loss_a 0.9167, loss_b nan, time 1312.72ms, mfu 8.38%
iter 2590: loss 0.8548, loss_a 0.8548, loss_b nan, time 1315.26ms, mfu 8.42%
iter 2600: loss 0.8730, loss_a 0.8730, loss_b nan, time 1315.67ms, mfu 8.45%
iter 2610: loss 0.7764, loss_a 0.7764, loss_b nan, time 1313.63ms, mfu 8.48%
iter 2620: loss 0.8605, loss_a 0.8605, loss_b nan, time 1315.61ms, mfu 8.51%
iter 2630: loss 0.9131, loss_a 0.9131, loss_b nan, time 1314.17ms, mfu 8.53%
iter 2640: loss 0.9181, loss_a 0.9181, loss_b nan, time 1313.26ms, mfu 8.55%
iter 2650: loss 0.9077, loss_a 0.9077, loss_b nan, time 1314.65ms, mfu 8.57%
iter 2660: loss 0.8655, loss_a 0.8655, loss_b nan, time 1313.80ms, mfu 8.59%
iter 2670: loss 0.8674, loss_a 0.8674, loss_b nan, time 1314.41ms, mfu 8.61%
iter 2680: loss 0.8662, loss_a 0.8662, loss_b nan, time 1313.72ms, mfu 8.62%
iter 2690: loss 0.8408, loss_a 0.8408, loss_b nan, time 1312.67ms, mfu 8.64%
iter 2700: loss 0.8303, loss_a 0.8303, loss_b nan, time 1314.27ms, mfu 8.65%
iter 2710: loss 0.9226, loss_a 0.9226, loss_b nan, time 1316.96ms, mfu 8.66%
iter 2720: loss 0.8604, loss_a 0.8604, loss_b nan, time 1312.22ms, mfu 8.67%
iter 2730: loss 0.7938, loss_a 0.7938, loss_b nan, time 1312.07ms, mfu 8.68%
iter 2740: loss 0.9168, loss_a 0.9168, loss_b nan, time 1314.05ms, mfu 8.68%
iter 2750: loss 0.9282, loss_a 0.9282, loss_b nan, time 1314.43ms, mfu 8.69%
iter 2760: loss 0.8813, loss_a 0.8813, loss_b nan, time 1313.73ms, mfu 8.70%
iter 2770: loss 0.8835, loss_a 0.8835, loss_b nan, time 1313.02ms, mfu 8.70%
iter 2780: loss 0.8511, loss_a 0.8511, loss_b nan, time 1313.96ms, mfu 8.71%
iter 2790: loss 0.8965, loss_a 0.8965, loss_b nan, time 1313.90ms, mfu 8.71%
